LIMS Auftrag;Probe;Probenahmedatum;Probenahmezeit;Gauss Hoch;Gauss Rechts;Entnahmestelle;Externe Bezeichnung;Anzeigewert;Einheit
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Dichlobenil;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Dichlobenil;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Dichlobenil;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Dichlobenil;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);Dichlobenil;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);Dichlobenil;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;Dichlobenil;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);Dichlorprop;< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;Dichlorprop;< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Dichlorprop;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Dichlorprop;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Dichlorprop;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;Dichlorprop;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Dichlorprop;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Dichlorprop;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;Dichlorprop;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Dichlorprop;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;Dichlorprop;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);Dichlorprop;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;Dichlorprop;< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Dichlorprop;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Dichlorprop;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Dichlorprop;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);Dichlorprop;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Dichlorprop;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;Dichlorprop;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Dichlorprop;< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Dichlorprop;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);Dichlorprop;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Dichlorprop;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Dichlorprop;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;Dichlorprop;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Dichlorprop;< 0,05;µg/l
2014-4016;0009;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Diclofenac;< 10;ng/l
2014-0326;0012;03.02.2014;08:25:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;;< 10;
2014-4016;0010;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Diclofenac;< 10;ng/l
2014-3220;0001;16.09.2014;09:20:00;376669,96;5659426,13;Ablauf Vorsperre Große Dhünn 16;Diclofenac;60;ng/l
2014-4016;0013;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Diclofenac;< 10;ng/l
2014-0326;0007;04.02.2014;11:40:00;379087,89;5664390,59;Knochenmühle;;< 10;
2014-0326;0004;04.02.2014;09:45:00;373335,71;5657290,6;Große Heide (14);;< 10;
2014-4016;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Diclofenac;< 10;ng/l
2014-0326;0008;04.02.2014;10:35:00;379828,79;5661338,53;Neumühle;;< 10;
2014-0326;0002;04.02.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);;< 10;
2014-4016;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Diclofenac;< 10;ng/l
2014-4016;0012;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Diclofenac;< 10;ng/l
2014-4016;0011;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Diclofenac;< 10;ng/l
2014-4016;0007;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Diclofenac;< 10;ng/l
2014-0326;0006;04.02.2014;11:15:00;378103,66;5663206,22;Dhünnsche Mühle;;< 10;
2014-4016;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Diclofenac;< 10;ng/l
2014-0326;0010;04.02.2014;11:30:00;378464,83;5663870,42;Staelsmühle;;< 10;
2014-4016;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Diclofenac;< 10;ng/l
2014-0326;0009;04.02.2014;11:00:00;380443,57;5661900,45;Purder Bach;;< 10;
2014-4016;0008;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Diclofenac;< 10;ng/l
2014-4016;0006;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;Diclofenac;< 10;ng/l
2014-0326;0001;04.02.2014;08:35:00;373881,03;5659471,38;Engerfeld (11);;< 10;
2014-0326;0013;03.02.2014;10:40:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;;< 10;
2014-0326;0003;04.02.2014;09:35:00;373158,43;5657311,86;Eichholz (13);;< 10;
2014-4016;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Diclofenac;< 10;ng/l
2014-0326;0011;03.02.2014;11:35:00;379710,6;5661021,29;Zulauf Große Dhünn 17;;< 10;
2014-0326;0005;04.02.2014;10:45:00;381231,49;5661929,47;Boxberg;;< 10;
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);Dieldrin;< 0,03;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Dieldrin;< 0,03;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Dieldrin;< 0,03;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Dieldrin;< 0,03;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Dieldrin;< 0,03;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;Dieldrin;< 0,03;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);Dieldrin;< 0,03;µg/l
